date,open,high,low,close,volume
2021-09-10,3203.06,3268.73,3201.74,3252.32,614654000.0
2021-09-13,3246.86,3271.1,3222.22,3242.04,514617000.0
2021-09-14,3243.68,3257.62,3182.2,3188.26,569256000.0
2021-09-15,3180.55,3180.55,3130.97,3146.63,428213000.0
2021-09-16,3145.44,3157.9,3113.04,3128.59,455264000.00000006
2021-09-17,3117.93,3162.05,3110.03,3161.92,400287000.0
2021-09-22,3100.39,3129.78,3096.03,3122.34,405816000.0
2021-09-23,3135.75,3159.97,3116.56,3127.82,377977000.0
2021-09-24,3120.43,3173.05,3120.43,3145.11,353827000.0
2021-09-27,3162.43,3218.88,3162.43,3199.97,422935000.00000006
2021-09-28,3197.04,3224.57,3173.85,3211.15,381059000.0
2021-09-29,3186.12,3222.28,3160.39,3199.23,408122000.0
2021-09-30,3202.02,3213.56,3189.18,3196.99,296982000.0
2021-10-08,3229.07,3263.93,3215.56,3256.26,389231000.0
2021-10-11,3264.72,3318.15,3263.16,3276.41,384225000.0
2021-10-12,3266.02,3280.06,3232.32,3259.38,349834000.0
2021-10-13,3257.4,3307.23,3243.61,3292.76,287785000.0
2021-10-14,3289.98,3301.91,3264.25,3270.69,241116000.0
2021-10-15,3258.57,3301.15,3251.1,3294.83,326192000.0
2021-10-18,3289.32,3289.32,3213.24,3229.63,324335000.0
2021-10-19,3227.01,3265.51,3226.07,3256.67,291272000.0
2021-10-20,3264.47,3282.57,3242.1,3255.0,275848000.0
2021-10-21,3256.61,3294.05,3253.57,3278.54,313068000.0
2021-10-22,3287.93,3336.73,3282.88,3318.13,312977000.0
2021-10-25,3295.25,3316.57,3284.89,3312.3,283460000.0
2021-10-26,3312.3,3327.66,3285.23,3290.04,259835000.0
2021-10-27,3282.26,3282.26,3236.15,3247.1,280449000.0
2021-10-28,3240.54,3252.73,3223.72,3239.61,299240000.0
2021-10-29,3241.91,3267.25,3239.08,3267.25,347748000.0
2021-11-01,3239.89,3262.49,3223.87,3250.92,334314000.0
2021-11-02,3245.04,3267.76,3187.35,3212.03,397441000.0
2021-11-03,3207.74,3220.34,3173.33,3181.45,272604000.0
2021-11-04,3194.47,3216.23,3187.95,3207.26,266350000.0
2021-11-05,3197.61,3229.97,3189.68,3201.55,264496999.99999997
2021-11-08,3198.69,3214.33,3185.94,3196.27,257731000.0
2021-11-09,3206.29,3214.89,3172.09,3186.96,236351000.00000003
2021-11-10,3177.61,3182.26,3125.29,3170.4,308518000.0
2021-11-11,3169.01,3233.59,3164.94,3233.37,380618000.0
2021-11-12,3239.35,3241.13,3213.75,3220.55,257642999.99999997
2021-11-15,3228.02,3241.92,3209.48,3221.69,222042000.0
2021-11-16,3222.51,3243.45,3212.21,3222.17,242414000.0
2021-11-17,3217.1,3226.11,3202.56,3208.78,198008000.0
2021-11-18,3199.21,3199.21,3164.7,3173.38,200422000.0
2021-11-19,3170.79,3217.82,3168.3,3212.91,257096000.0
2021-11-22,3217.33,3228.29,3209.42,3212.15,262573000.0
2021-11-23,3206.94,3237.65,3206.43,3224.15,264817999.99999997
2021-11-24,3226.02,3247.78,3214.09,3231.84,232103000.00000003
2021-11-25,3233.26,3236.26,3212.73,3218.05,210105000.00000003
2021-11-26,3213.63,3214.05,3181.14,3187.36,230366000.0
2021-11-29,3170.69,3188.11,3163.96,3187.05,271808000.0
2021-11-30,3186.25,3196.04,3153.63,3165.35,234192999.99999997
2021-12-01,3166.61,3182.38,3165.7,3180.42,250041000.0
2021-12-02,3179.99,3198.03,3169.02,3190.87,274177000.0
2021-12-03,3191.17,3221.42,3191.17,3221.42,272691000.0
2021-12-06,3234.43,3257.19,3223.21,3228.14,354127000.0
2021-12-07,3255.56,3262.08,3237.16,3254.5,377837000.0
